Hashtag,Post Count
dog,350000000
dogsofinstagram,290000000
dogsofmathias777,130000000
dogs,160000000
doglover,89180000
doglife,58210000
doglovers,55740000
dogphotography,18200000
dogmom,16670000
dogoftheday,80380000
doglove,22570000
dogmodel,10150000
dogsitting,10020000
dogtraining,7857000
dogsofinstaworld,17790000
dogslife,22670000
doğa,9879000
dogstagram,120000000
doggy,25060000
mathias777dogs,140000000
mathiaslovedogs,130000000
dogs_of_instagram,22410000
dogsofig,20820000
doggrooming,5656000
dogsofinsta,37020000
doggo,31250000
dogofinstagram,9409000
dogscorner,7275000
dogwalk,5907000
doginstagram,3890000
dogstyle,3530000
dogloversofinstagram,2836000
dogmomlife,2351000
dogfeatures,1220000
dogfluencer,1092000
dogportrait,2657000
doggroomer,2914000
dogtrainer,2585000
dogsdaily,2744000
dogslover,3950000
dogoargentino,1530000
dogwalking,5588000
dogsmile,1668000
dogsofinstgram,7413000
dogtreats,2336000
dogwalker,5435000
dogclothes,1375000
dogphoto,2902000
cutedog,19000000
dogworld,1782000
doggram,1465000
dogdad,1987000
dogsandpals,3746000
dogsthathike,2605000
instadog,110000000
